Município;Região Administrativa;Região de Governo;Distância da Capital (km);Número de Habitantes (em 2010);Porte;Possui Arquivo Público?;Tipo de Referência Legal que regulamenta Arquivo(s) Público(s);Número da Referência Legal que regulamenta Arquivo(s) Público(s);Data da Referência Legal que regulamenta Arquivo(s) Público(s);Ementa da Referência Legal que regulamenta Arquivo(s) Público(s);Nome Oficial do Arquivo Público 1;Vínculo do Arquivo Público 1;Endereço do Arquivo Público 1;Bairro do Arquivo Público 1;CEP do Arquivo Público 1;Telefone do Arquivo Público 1;E-mail do Arquivo Público 1;Site do Arquivo Público 1;Tipo de Referência Legal que regulamenta o Arquivo Público 1;Número da Referência Legal que regulamenta o Arquivo Público 1;Data da Referência Legal que regulamenta o Arquivo Público 1;Ementa da Referência Legal que regulamenta o Arquivo Público 1;Nome Oficial do Arquivo Público 2;Vínculo do Arquivo Público 2;Endereço do Arquivo Público 2;Bairro do Arquivo Público 2;CEP do Arquivo Público 2;Telefone do Arquivo Público 2;E-mail do Arquivo Público 2;Site do Arquivo Público 2;Tipo de Referência Legal que regulamenta o Arquivo Público 2;Número da Referência Legal que regulamenta o Arquivo Público 2;Data da Referência Legal que regulamenta o Arquivo Público 2;Ementa da Referência Legal que regulamenta o Arquivo Público 2;Possui Comissão de Avaliação de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Data da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Ementa da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Observações sobre Comissão de Avaliação de Documentos;Possui Tabela de Temporalidade de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Número da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Data da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Ementa da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Qual(is) Tabela de Temporalidade de Documentos possui;Observações sobre Tabela de Temporalidade de Documentos;Foi atendido pelo CAM (Centro de Assistência aos Municípios);Recebeu Visita Técnica do CAM (Centro de Assistência aos Municípios);Foi elaborado Parecer Técnico pelo CAM (Centro de Assistência aos Municípios);Participou de eventos sobre Gestão Documental promovidos pelo CAM (Centro de Assistência aos Municípios);Foi acionado pelo Ministério Público do Estado de São Paulo;Regulamentou a Lei de Acesso à Informação;Tipo da Referência Legal que regulamenta a Lei de Acesso à Informação;Número da Referência Legal que regulamenta a Lei de Acesso à Informação;Data da Referência Legal que regulamenta a Lei de Acesso à Informação;Ementa da Referência Legal que regulamenta a Lei de Acesso à Informação;Existe a previsão de pelo menos uma instância recursal;1ª Instância Recursal (obrigatória);2ª Instância Recursal;3ª Instância Recursal;4ª Instância Recursal;Existe a previsão para autoridades classificarem informações quanto ao grau de sigilo;Existe a previsão de responsabilização do servidor em caso de negativa de informação;Existe a previsão de criação do SIC (Serviço de Informação ao Cidadão);Vínculo e Localização do SIC (Serviço de Informação ao Cidadão);Nota obtida na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Nota obtida na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Evolução no Ranking da Transparência do MPF (Ministério Público Federal) em relação à avaliação anterior
Oscar Bressane;Região Administrativa de Marília;Marília;482;2.537;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;2,8;534;0;641;CAIU
Osvaldo Cruz;Região Administrativa de Presidente Prudente;Adamantina;559;30.917;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,1;510;3,9;515;SUBIU
Ourinhos;Região Administrativa de Marília;Ourinhos;370;103.035;Grande;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;5961;13/08/2013;Regulamenta LAI;Não;Não há;Não há;Não há;Não há;Não;Não;Sim;Respectiva Ouvidoria;8,3;9;10;1;SUBIU
Ouro Verde;Região Administrativa de Presidente Prudente;Dracena;651;7.800;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;0,5;630;0,2;637;CAIU
Ouroeste;Região Administrativa de São José do Rio Preto;Fernandópolis;602;8.405;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,1;309;4;509;CAIU
Pacaembu;Região Administrativa de Presidente Prudente;Adamantina;602;13.226;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;7,3;41;6;323;CAIU
Palestina;Região Administrativa de São José do Rio Preto;São José do Rio Preto;506;11.051;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;0,2;635;2,2;593;SUBIU
Palmares Paulista;Região Administrativa de São José do Rio Preto;Catanduva;410;10.934;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;29;01/08/2013;Lei de Acesso regulamentada;Sim;Prefeito Municipal, que solicitará ao setor jurídico manifestar-se (caso seja indeferido o recurso é possibilitada a reconsideração).;Não há;Não há;Não há;Não;Sim;Sim;Não determinada: Secretaria Geral da Prefeitura Municipal (recebe e registra pedidos).;6,1;178;7,8;111;SUBIU
Palmeira d'Oeste;Região Administrativa de São José do Rio Preto;Jales;628;9.584;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,4;274;5,8;344;SUBIU
Palmital;Região Administrativa de Marília;Assis;414;21.186;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;2540;22/05/2013;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Prefeitura Municipal de Palmital,  localizada na Praça Marechal Arthur da Costa e Silva, 119 (recebe e autua os pedidos).;5,7;239;4,7;455;CAIU
Panorama;Região Administrativa de Presidente Prudente;Dracena;670;14.583;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;4,8;338;0,9;622;CAIU
Paraguaçu Paulista;Região Administrativa de Marília;Assis;467;42.278;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;5521;03/07/2013;Regulamenta LAI e SIC;Sim;Autoridade responsável pela unidade administrativa a que o Serviço de Informação ao Cidadão – SIC, estiver subordinado.;Não há;Não há;Não há;Não;Sim;Sim;Cada um dos órgãos e entidades da Administração Direta e Indireta do Poder Executivo Municipal (protocoliza os pedidos).;3,5;484;2,8;571;CAIU
Paraibuna;Região Administrativa de São José dos Campos;São José dos Campos;125;17.388;Pequeno 1;Sim;Lei;1729;05/12/1996;Cria Arquivo Público;Arquivo Público Municipal;Fundação Cultural Benedicto Siqueira e Silva;;;;;;;Lei;1729;05/12/1996;Cria Arquivo Público;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5,8;221;7,8;111;SUBIU
Paraíso;Região Administrativa de São José do Rio Preto;Catanduva;402;5.898;Pequeno 1;Sim;Lei;1114;04/12/2015;;Arquivo Público Municipal;Gabinete do Prefeito;;;;;;;Lei;1114;04/12/2015;0;;;;;;;;;;;;;Sim;Lei;1114;04/12/2015;;;Não;;;;;;O trabalho de estabelecer a Tabela de Temporalidade não foi iniciado. A Lei 1.114, de 04/12/2015 cria o Arquivo Público Municipal e o Sistema de Arquivos. Em seu art. 6º, incisos V e VI, dispõe sobre a Eliminação e Tabelas de Temporalidade dos Documentos. Nos artigos 22 a 31, dispõe sobre a CPAD (Comissão Permanente de Avaliação de Documentos) e suas atribuições.;Sim;Não;Não;Sim;Sim;Sim;Lei;1117;04/12/2015;Lei de Acesso regulamentada;;;;;;;;;;6,6;115;7,2;172;SUBIU
Paranapanema;Região Administrativa de Itapeva;Itapeva;260;17.808;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;1471;08/10/2015;Regulamenta LAI;Sim;Procuradoria Municipal (com  eventual consulta à Comissão de Avaliação de Documentos e acesso - CADA).;Prefeito Municipal;Não há;Não há;Sim;Sim;Sim;Não determinada: SIC Vinculado ao Arquivo Público Municipal.;8,1;17;8;95;CAIU
Paranapuã;Região Administrativa de São José do Rio Preto;Jales;622;3.815;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,6;361;4,2;489;CAIU
Parapuã;Região Administrativa de Marília;Tupã;548;10.844;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;2719;22/03/2013;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações: A Comissão Mista de Reavaliação de Informações atuará junto ao Departamento Municipal de Administração e Finanças.;Não há;Não há;Não;Não;Sim;Av. São Paulo, nº 1113 (recebe, autua e processa os pedidos).;7,1;56;7,4;149;SUBIU
Pardinho;Região Administrativa de Sorocaba;Botucatu;201;5.582;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,9;524;1,4;611;CAIU
Pariquera-Açu;Região Administrativa de Registro;Registro;219;18.446;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;71;25/09/2013;Regulamenta LAI;Sim;Diretor Municipal ou ao Diretor Presidente da entidade da administração pública indireta da área que exarou a decisão impugnada.;Comissão Mista de Julgamento de Recursos de Acesso à Informação;Não há;Não há;Não;Não;Sim;Não determinada: Estrutura da Ouvidoria (registra as solicitações).;6,8;87;6,8;229;IGUAL
Parisi;Região Administrativa de São José do Rio Preto;Votuporanga;549;2.032;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,7;468;6,4;273;SUBIU
Patrocínio Paulista;Região Administrativa de Franca;Franca;430;13.000;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,1;178;8,7;45;SUBIU
Paulicéia;Região Administrativa de Presidente Prudente;Dracena;667;6.339;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;1,7;597;3,3;553;SUBIU
Paulínia;Região Administrativa de Campinas;Campinas;119;82.146;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;6,7;102;7,9;103;SUBIU
Paulistânia;Região Administrativa de Bauru;Bauru;340;1.779;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Lei;283;05/08/2014;Lei de Acesso regulamentada;Sim;Autoridade que exarou a decisão.;Autoridade hierarquicamente superior à que exarou a decisão impugnada.;Prefeito ou dirigentes das entidades municipais.;Não há;Não;Não;Sim;Não determinada: todos os órgãos e entidades integrantes da Administração Pública direta ou indireta deverão dispor de, no mínimo, uma unidade física para atendimento ao público (autua e protocoliza os pedidos).;5,4;274;5,1;419;CAIU
Paulo de Faria;Região Administrativa de São José do Rio Preto;São José do Rio Preto;546;8.589;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,7;239;5,3;399;CAIU
Pederneiras;Região Administrativa de Bauru;Bauru;319;41.497;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;3819;12/07/2013;Regulamenta LAI;Não;Não há;Não há;Não há;Não há;Não;Não;Sim;Não determinada: Local onde se encontram os documentos aos quais se refira, ou na Sede da Prefeitura Municipal.;5,4;274;4,9;439;CAIU
Pedra Bela;Região Administrativa de Campinas;Bragança Paulista;119;5.780;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,8;461;4,4;477;SUBIU
Pedranópolis;Região Administrativa de São José do Rio Preto;Fernandópolis;562;2.558;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,3;155;7,2;172;SUBIU
Pedregulho;Região Administrativa de Franca;Franca;455;15.700;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;8,3;9;4,8;446;CAIU
Pedreira;Região Administrativa de Campinas;Campinas;137;41.558;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,5;558;6,8;229;SUBIU
Pedrinhas Paulista;Região Administrativa de Marília;Assis;485;2.940;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;3,1;510;8,1;88;SUBIU
Pedro de Toledo;Região Administrativa de Registro;Registro;147;10.204;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,5;127;4,5;472;CAIU
Penápolis;Região Administrativa de Araçatuba;Araçatuba;477;58.510;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5,5;265;5,5;371;IGUAL
Pereira Barreto;Região Administrativa de Araçatuba;Andradina;635;24.962;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,7;542;2,2;593;CAIU
Pereiras;Região Administrativa de Sorocaba;Botucatu;167;7.454;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;4,6;361;2,3;590;CAIU
Peruíbe;Região Administrativa de Santos;Santos;141;59.773;Médio;Sim;Decreto;1964;16/02/2001;Arquivo Histórico;Arquivo Histórico;Departamento de Cultura;;;;;;;Decreto;1964;16/02/2001;Arquivo Histórico;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;5,1;309;6,3;283;SUBIU
Piacatu;Região Administrativa de Araçatuba;Araçatuba;534;5.287;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;0,6;626;6,5;267;SUBIU
Piedade;Região Administrativa de Sorocaba;Sorocaba;104;52.143;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;3;515;7,2;172;SUBIU
Pilar do Sul;Região Administrativa de Sorocaba;Sorocaba;149;26.406;Pequeno 2;Sim;Lei;2634;26/07/2011;Cria Arquivo Público;Arquivo Público Municipal;Gabinete do Prefeito;Rua Tenente Almeida, 265;;;(15) 0278-1411;;;Lei;2634;26/07/2011;Cria Arquivo Público;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;0,2;635;5,7;353;SUBIU
Pindamonhangaba;Região Administrativa de São José dos Campos;Taubaté;146;146.995;Grande;Sim;Lei;298;30/08/1956;Arquivo Municipal e Histórico;Arquivo Municipal Athaíde Marcondes;Secretaria de Administração/Dpto. de Administração;Rua Rubião Júnior, 413;Centro;12400-450;(12) 3648-2643/6493;arquivo@pindamonhangaba.sp.gov.br;http://www.pindamonhangaba.sp.gov.br/arquivohistorico.asp;Lei;298;30/08/1956;Arquivo Municipal e Histórico;;;;;;;;;;;;;Sim;Portaria;3067;04/06/2007;;;;;;;;;A Portaria 3.067, de 04/06/2007 constituiu a Comissão Especial de Avaliação de Documentos – CEAD. No item 8 desta portaria consta que as Tabelas de Temporalidade dos Documentos serão elaboradas em 30 dias a partir desta data (04/06/2007).;Sim;Não;Não;Não;;Sim;Decreto;5099;19/08/2014;Regulamenta LAI;Sim;Autoridade hierarquicamente superior à que adotou a decisão.;Comissão de Avaliação de Informações (CAI).;Não há;Não há;Sim;Sim;Sim;Setor de Protocolo;7,5;30;7,8;111;SUBIU
Pindorama;Região Administrativa de São José do Rio Preto;Catanduva;392;15.039;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,9;332;6,4;273;SUBIU
Pinhalzinho;Região Administrativa de Campinas;Bragança Paulista;114;13.105;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,1;510;1,3;613;CAIU
Piquerobi;Região Administrativa de Presidente Prudente;Presidente Prudente;603;3.537;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,4;389;3,7;533;CAIU
Piquete;Região Administrativa de São José dos Campos;Guaratinguetá;210;14.107;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Lei;1671;22/07/2002;;;Sim;;;;;Meio;A Lei 1.671, de 22/072002 prevê a criação de uma Comissão para análise dos documentos em via de incineração, com o propósito de avaliar e eliminar documentos públicos. O Decreto 2.478, de 22/07/2002 tem uma espécie de Tabela de Temporalidade sem base nas leis arquivísticas, mas que determina tacitamente temporalidades de um rol de documentos, que vão de um ano, a tempo indeterminado. Também considera permanentes os documentos de valor histórico ou probatório.;Sim;Não;Não;Não;Sim;Sim;Decreto;10087;11/10/2013;Lei de Acesso regulamentada;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Sim;Sim;Protocolo Geral que ficará instalado na Rua do Piquete, 140: coordenado pela Secretaria Municipal de Planejamento, Fazenda e Tecnologia da Informação (autua e processa os pedidos).;6,8;87;5,7;353;CAIU
Piracaia;Região Administrativa de Campinas;Bragança Paulista;90;25.116;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;3,8;461;5,6;362;SUBIU
Piracicaba;Região Administrativa de Campinas;Piracicaba;164;364.571;Grande;Sim;Lei;3339;15/10/1991;Possui Arquivo Publico;Arquivo Municipal;Secretaria de Administração;Avenida Doutor Paulo de Moraes, 385;Centro;;(19) 3432-6612;;;;;;;;;;;;;;;;;;;Não;;;;;;Sim;;;;;Educação;A Tabela de Temporalidade foi parcialmente estabelecida (somente algumas áreas), mas não foi oficializada. A Lei 3.339, de 15/10/1991 prevê em seu art. 24, § 1º, IV, c), a exitência de um Setor de Arquivo. Não foi localizada Lei específica. A Tabela de Temporalidade existente e ainda não oficializada refere-se aos documentos produzidos e acumulados pela Secretaria da Educação.;Sim;Não;Não;Não;;Sim;Decreto;14699;11/07/2012;Regulamenta LAI;Sim;Secretário Municipal de Governo;Não há;Não há;Não há;Não;Não;Sim;Secretaria de Governo: recebimento e protocolização dos pedidos;5,4;274;9,4;16;SUBIU
Piraju;Região Administrativa de Itapeva;Itapeva;335;28.475;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;3652;23/11/2012;Regulamenta LAI;Sim;Diretor do Departamento de Administração;Prefeito;Não há;Não há;Não;Sim;Sim;Estrutura Administrativa: subordinado ao Departamento de Administração (recebe e protocoliza os pedidos).;7,1;56;8,7;45;SUBIU
Pirajuí;Região Administrativa de Bauru;Bauru;385;22.704;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,2;504;5,7;353;SUBIU
Pirangi;Região Administrativa de Barretos;Barretos;394;10.623;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Decreto;2389;10/06/2013;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Paço Municipal: Rua Mal. Floriano Peixoto, nº 579.;5,8;221;7,6;129;SUBIU
Pirapora do Bom Jesus;Região Administrativa de São Paulo;São Paulo;61;15.733;Pequeno 1;Sim;Lei;787;22/11/2005;Cria Arquivo Municipal;Arquivo Público Municipal;Secretaria Municipal de Governo;;;;;;;Lei;787;22/11/2005;Cria Arquivo Municipal;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;0,4;632;0,6;628;SUBIU
Pirapozinho;Região Administrativa de Presidente Prudente;Presidente Prudente;574;24.694;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;4396;16/12/2013;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Sede da Prefeitura: Rua Machado de Assis nº 728 (recebe, autua e processa os pedidos).;6,4;141;4,6;461;CAIU
Pirassununga;Região Administrativa de Campinas;Limeira;230;70.081;Médio;Não;Lei;4673;10/09/2014;Possui Arquivo Publico. Lei de Acesso regulamentada. Regulamenta LAI;Arquivo Municipal;Secretaria de Administração;Rua Galício Del Nero, 51;Centro;13630-900;(19) 3565-8024/3565-8000;comunicacao@pirassunga.sp.gov.br;;Lei;4673;10/09/2014;Possui Arquivo Publico. Lei de Acesso regulamentada. Regulamenta LAI;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;4673;10/09/2014;Possui Arquivo Publico. Lei de Acesso regulamentada. Regulamenta LAI;Sim;Autoridade Gestora Municipal;Chefe do Executivo ou Autoridade Máxima  dos órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedade de economia mista de âmbito municipal, bem como das demais entidades controladas direta ou indiretamente pelo Município;Não há;Não há;Sim;Sim;Sim;Não determinada.;5,2;300;7,8;111;SUBIU
Piratininga;Região Administrativa de Bauru;Bauru;334;12.072;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,6;477;5,6;362;SUBIU
Pitangueiras;Região Administrativa de Ribeirão Preto;Ribeirão Preto;387;35.307;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,7;102;7,2;172;SUBIU
Planalto;Região Administrativa de São José do Rio Preto;São José do Rio Preto;525;4.463;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;2,5;558;3,5;547;SUBIU
Platina;Região Administrativa de Marília;Assis;422;3.192;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Sim;Não;Não;;Sim;Lei;1090;27/06/2013;Lei de Acesso regulamentada;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações.;Não há;Não há;Não;Não;Sim;Prefeitura Municipal de Platina: Rua João de Souza Martins, 550 (recebe, autua e processa os pedidos).;1,1;617;5,2;411;SUBIU
Poá;Região Administrativa de São Paulo;São Paulo;48;106.013;Grande;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;6,8;87;9,3;18;SUBIU
Poloni;Região Administrativa de São José do Rio Preto;São José do Rio Preto;499;5.395;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;Sim;Não;;;;;;;;;;;;;;1,8;592;6,9;217;SUBIU
Pompéia;Região Administrativa de Marília;Marília;467;19.964;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,1;178;5,6;362;CAIU
Pongaí;Região Administrativa de Bauru;Lins;415;3.481;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;7,3;41;0,4;632;CAIU
Pontal;Região Administrativa de Ribeirão Preto;Ribeirão Preto;374;40.244;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;42;18/06/2014;Regulamenta LAI;Sim;Secretário Municipal da área que exarou a decisão impugnada.;Comissão Mista de Julgamento de Recursos de Acesso à Informação;Não há;Não há;Não;Não;Sim;Não determinada: Estrutura do Balcão  de Atendimento no Âmbito da Administração Direta.;6;199;7,8;111;SUBIU
Pontalinda;Região Administrativa de São José do Rio Preto;Jales;597;4.074;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;7,5;30;6,9;217;CAIU
Pontes Gestal;Região Administrativa de São José do Rio Preto;Votuporanga;553;2.518;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,5;558;6,8;229;SUBIU
Populina;Região Administrativa de São José do Rio Preto;Fernandópolis;625;4.223;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,2;166;4,3;484;CAIU
